Year,Quarter,Module Code,Module Name
1,A,BS4207,Global Business Environment
1,B,BM4800,Marketing & Sales
1,C,B112,Sustainability Management
1,C,B198c2,Electives in Digital Skills
1,C,B114,Innovation Management in a Digital and Globalised World
1,D,B119,Creative Problem Solving & Strategy Development
1,D,B137,HR Management
2,A,BA5812,Accounting and Financial Management
2,B,BM5015,Managing Across Cultures and Borders
2,C,B129,Introduction to Globalisation
2,C,B118,Intercultural Skills & Ethics
2,C,B135,International Business Law
2,D,B130,Comparative Country Studies and Political Risk Assessment
2,D,B110,Economics & Digital Economics
2,D,B132,Global Sourcing
3,A,BH6016,"Leadership, Transformation and Complexity"
3,B,BB6207,"Global Business Practice, Operations and Trade"
3,C,B120,Internship
3,D,B109,Digital Transformation & Cases
3,D,B199,Bachelors Thesis
