Year,Quarter,Module Code,Module Name
1,A,B111,Fundamentals of Marketing
1,A,B137,HR Management
1,A,B109,Digital Transformation & Cases
1,B,B114,Innovation Management in a Digital and Globalised World
1,B,B117,Foreign Language
1,B,B122,Business Mathematics
1,C,B112,Sustainability Management
1,C,B113,Project Management
1,C,B135,International Business Law
1,D,B110,Economics & Digital Economics
1,D,B123,Statistics
1,D,B124,Academic Writing & Research Methods
2,A,B216,Transnational Security
2,A,B217,Introduction to Globalisation
2,B,B218,Comparative Foreign Policy Analysis
2,B,B118,Intercultural Skills & Ethics
2,C,B219,Emerging Global Threats
2,C,B130,Comparative Country Studies and Political Risk Assessment
2,D,B116,Leadership in a Digitalized and Globalized World
2,D,B220,Global Political Economy
3,A,B198,"Study Abroad, Internship or Career Development Semester"
3,B,B198,"Study Abroad, Internship or Career Development Semester"
3,C,B120,Internship
3,D,B120,Internship
3,D,B199,Bachelors Thesis
