Year,Quarter,Module Code,Module Name
1,A,B111,Fundamentals of Marketing
1,A,B109,Digital Transformation & Cases
1,A,B122,Business Mathematics
1,B,B228,Circular Economy and Sustainabilty
1,B,B114,Innovation Management in a Digital and Globalised World
1,B,B117,Foreign Language
1,C,B110,Economics & Digital Economics
1,C,B123,Statistics
1,C,B124,Academic Writing & Research Methods
1,D,B113,Project Management
1,D,B135,International Business Law
1,D,B112,Sustainability Management
2,A,B221,International Management of Supply Chains
2,A,B222,Operations Research
2,B,B118,Intercultural Skills & Ethics
2,B,B223,Supply Chain Enterprise Resource Planning Applications
2,C,B224,Data Analytics in Supply Chain Management
2,C,B225,Manufacturing and Service Operations Management
2,D,B226,Procurement and Supply Chain Management
2,D,B227,Supply Chain Leadership
3,A,B198c10,International Business Project
3,A,B198c2,Electives in Digital Skills
3,B,B198c18,International Organizations and Multi-Level Governance
3,B,B198c12,Marketing Campaign Studio
3,C,B120,Internship
3,D,B120,Internship
3,D,B199,Bachelors Thesis
