Year,Quarter,Module Code,Module Name
1,A,,Managing Operation and Financial Resources (KU Module)
1,B,,Building Successful Organisations and Careers (KU Module)
1,C,M527,Cybersecurity and Digital Risk Management
1,C,M541,Data Management & Protection
1,D,M542,Cryptology
1,D,M543,Cyber Forensics
1,D,M544,Business Project in Cybersecurity
2,A,,Managing in Rapidly Changing Business Environments (KU Module)
2,B,,International Business Strategy (KU Module)
2,C,,Consultancy in Practice (KU Module)
2,D,M514,Internship
2,D,M598,Master Thesis
