Year,Quarter,Module Code,Module Name
1,A,M527,Cybersecurity and Digital Risk Management
1,A,M541,Data Management & Protection
1,A,M501,Innovation Management and Digital Transformation
1,B,M522,Finance & Risk Management
1,B,M520,International Economics
1,B,M506,Research Methods and Scientific Work
1,C,M542,Cryptology
1,C,M543,Cyber Forensics
1,C,M517,International Strategic Management
1,D,M510,CEO Decision Making and Case Studies
1,D,M521,Emotional Agility in International Business
1,D,M511,"CSR, ESG and Ethics"
2,A,M544,Business Project in Cybersecurity
2,A,M524,Management of People in Cross Cultural Environments
2,A,M514,Internship or Study Abroad or Business Project
2,B,M514,Internship or Study Abroad or Business Project
2,C,M513,Research Seminar
2,C,M599,Master Thesis
2,D,M599,Master Thesis
