Year,Quarter,Module Code,Module Name
1,A,,Managing Operation and Financial Resources (KU Module)
1,B,,Building Successful Organisations and Careers (KU Module)
1,C,M522,Finance & Risk Management
1,C,M550,"FinTech, Blockchain and Crypto Assets"
1,D,M551,M&A and Structuring the Firm
1,D,M552,ESG and ESG Reporting
1,D,M553,Asset Management and Derivatives
2,A,,Managing in Rapidly Changing Business Environments (KU Module)
2,B,,International Business Strategy (KU Module)
2,C,,Consultancy in Practice (KU Module)
2,D,M514,Internship
2,D,M598,Master Thesis
