Year,Quarter,Module Code,Module Name
1,A,M529,International Accounting
1,A,M522,Finance & Risk Management
1,A,M501,Innovation Management and Digital Transformation
1,B,M520,International Economics
1,B,M503,Behavioural Competencies in Virtual Teams
1,B,M506,Research Methods and Scientific Work
1,C,M517,International Strategic Management
1,C,M521,Emotional Agility in International Business
1,C,M510,CEO Decision Making and Case Studies
1,D,M550,"FinTech, Blockchain and Crypto Assets"
1,D,M551,M&A and Structuring the Firm
1,D,M552,ESG and ESG Reporting
2,A,M513,Research Seminar
2,A,M599,Master Thesis
2,B,M599,Master Thesis
