Year,Quarter,Module Code,Module Name
1,A,,Managing Operation and Financial Resources (KU Module)
1,B,,Building Successful Organisations and Careers (KU Module)
1,C,M525,HR Management and Organisation Design
1,C,M528,Cognitive Psychology & Leadership
1,D,M580,Employment Law
1,D,M581,HR Analytics
1,D,M524,Management of People in Cross Cultural Environments
2,A,,Managing in Rapidly Changing Business Environments (KU Module)
2,B,,International Business Strategy (KU Module)
2,C,,Consultancy in Practice (KU Module)
2,D,M514,Internship
2,D,M598,Master Thesis
