Year,Quarter,Module Code,Module Name
1,A,M528,Cognitive Psychology & Leadership
1,A,M580,Employment Law
1,A,M501,Innovation Management and Digital Transformation
1,B,M503,Behavioural Competencies in Virtual Teams
1,B,M520,International Economics
1,B,M506,Research Methods and Scientific Work
1,C,M525,HR Management and Organisation Design
1,C,M581,HR Analytics
1,C,M521,Emotional Agility in International Business
1,D,M518,International Marketing
1,D,M517,International Strategic Management
1,D,M511,"CSR, ESG and Ethics"
2,A,M524,Management of People in Cross Cultural Environments
2,A,M523,"Digital Competencies Electives in Cloud Computing, Big Data, Cybersecurity"
2,A,M514,Internship or Study Abroad or Business Project
2,B,M514,Internship or Study Abroad or Business Project
2,C,M513,Research Seminar
2,C,M599,Master Thesis
2,D,M599,Master Thesis
