Year,Quarter,Module Code,Module Name
1,A,,Managing Operation and Financial Resources (KU Module)
1,B,,Building Successful Organisations and Careers (KU Module)
1,C,M509,Digital Marketing and Analytics
1,C,M518,International Marketing
1,D,M570,Pricing Policy
1,D,M571,Brand Management and Product Development
1,D,M573,Customer Experience Design
2,A,,Managing in Rapidly Changing Business Environments (KU Module)
2,B,,International Business Strategy (KU Module)
2,C,,Consultancy in Practice (KU Module)
2,D,M514,Internship
2,D,M598,Master Thesis
