Year,Quarter,Module Code,Module Name
1,A,M571,Brand Management and Product Development
1,A,M570,Pricing Policy
1,A,M501,Innovation Management and Digital Transformation
1,B,M502,Project Management
1,B,M520,International Economics
1,B,M506,Research Methods and Scientific Work
1,C,M517,International Strategic Management
1,C,M511,"CSR, ESG and Ethics"
1,C,M521,Emotional Agility in International Business
1,D,M518,International Marketing
1,D,M509,Digital Marketing and Analytics
1,D,M573,Customer Experience Design
2,A,M513,Research Seminar
2,A,M599,Master Thesis
2,B,M599,Master Thesis
