Year,Quarter,Module Code,Module Name
1,A,,Managing Operation and Financial Resources (KU Module)
1,B,,Building Successful Organisations and Careers (KU Module)
1,C,M560,Project Costing and Control
1,C,M561,Corporate Governance and Risk Management
1,D,M562,Project Communication and Stakeholder Management
1,D,M563,Management Consulting
1,D,M564,Management of IT Projects
2,A,,Managing in Rapidly Changing Business Environments (KU Module)
2,B,,International Business Strategy (KU Module)
2,C,,Consultancy in Practice (KU Module)
2,D,M514,Internship
2,D,M598,Master Thesis
