Year,Quarter,Module Code,Module Name
1,A,M611,Creative Business & Innovation Scaling
1,A,M506,Research Methods and Scientific Work
1,B,M612,Creative Industry Growth Hacking
1,B,M501,Innovation Management and Digital Transformation
1,C,M613,Global Gaming Markets
1,C,M502,Project Management
1,D,M614,Legal Frameworks in Interactive Entertainment
1,D,M513,Research Seminar
2,A,M615,Cultural Dynamics in Interactive Entertainment
2,A,,Electives
2,A,M514,"Mobility Window (Study Abroad, Internship or Business Project)"
2,B,M514,"Mobility Window (Study Abroad, Internship or Business Project)"
2,C,M513,Research Seminar
2,C,M599,Master Thesis
2,D,M599,Master Thesis
