Year,Quarter,Module Code,Module Name
1,A,M527,Cybersecurity and Digital Risk Management
1,A,M541,Data Management & Protection
1,A,M501,Innovation Management and Digital Transformation
1,B,M503,Behavioural Competencies in Virtual Teams
1,B,M502,Project Management
1,B,M506,Research Methods and Scientific Work
1,C,M517,International Strategic Management
1,C,,Cryptography
1,C,M543,Cyber Forensics
1,D,M510,CEO Decision Making and Case Studies
1,D,M511,"CSR, ESG and Ethics"
1,D,M521,Emotional Agility in International Business
2,A,M524,Managing People in Cross-Cultural Environments
2,A,M514,"Study Abroad, Internship or Business Project"
2,A,M544,Business Project in Cybersecurity
2,B,M514,"Study Abroad, Internship or Business Project"
2,C,M513,Research Seminar
2,C,M599,Master Thesis
2,D,M599,Master Thesis
