Year,Quarter,Module Code,Module Name
1,A,M529,International Accounting
1,A,M522,Finance & Risk Management
1,A,M501,Innovation Management and Digital Transformation
1,B,M520,International Economics
1,B,,Mathematical Methods for Analytics & Optimization
1,B,M506,Research Methods and Scientific Work
1,C,M550,"FinTech, Blockchain and Crypto Assets"
1,C,M551,M&A and Structuring the Firm
1,C,M552,ESG and ESG Reporting
1,D,,Quantitative Methods for Business Analytics
1,D,M503,Behavioural Competencies in Virtual Teams
1,D,M517,International Strategic Management
2,A,M553,Asset Management and Derivatives
2,A,M524,Management of People in Cross Cultural Environments
2,A,M514,Internship or Study Abroad or Business Project
2,B,M514,Internship or Study Abroad or Business Project
2,C,M513,Research Seminar
2,C,M599,Master Thesis
2,D,M599,Master Thesis
