Year,Quarter,Module Code,Module Name
1,A,M518,International Marketing
1,B,M522,Finance & Risk Management
1,B,M506,Research Methods and Scientific Work
1,C,M525,HR Management and Organisation Design
1,D,M529,International Accounting
1,D,M503,Behavioural Competencies in Virtual Teams
2,A,M532,International Strategic Management & Innovation
2,B,M530,Operational and Project Management in a Digital World
2,B,M523,Digital Competencies
2,C,M531,Economics & Society
2,C,M598,Master Thesis
2,D,M598,Master Thesis
