Year,Quarter,Module Code,Module Name
1,A,M501,Innovation Management and Digital Transformation
1,A,M503,Leadership I: Behavioural Competencies in Virtual Teams
1,A,M502,Project Management
1,B,M528,Cognitive Psychology & Leadership
1,B,M527,Cybersecurity and Digital Risk Management
1,B,M506,Research Methods and Scientific Work
1,C,M525,HR Management and Organisation Design
1,C,M526,T.I.M.E. in a Digital World
1,C,M509,Digital Marketing and Analytics
1,D,M510,CEO Decision Making and Case Studies
1,D,M521,Leadership II: Emotional Agility in International Business
1,D,M511,"CSR, ESG and Ethics"
2,A,M616,"Electives in Cloud Computing, Big Data, Cybersecurity"
2,A,M524,Leadership III: Management of People in Cross Cultural Environments
2,A,M514,Internship or Study Abroad or Business Project
2,B,M514,Internship or Study Abroad or Business Project
2,C,M513,Research Seminar
2,C,M599,Master Thesis
2,D,M599,Master Thesis
