Year,Quarter,Module Code,Module Name
1,A,M502,Project Management
1,A,M560,Project Costing and Control
1,A,M561,Corporate Governance and Risk Management
1,B,M503,Behavioral Competencies in Virtual Teams
1,B,M501,Innovation Management and Digital Transformation
1,B,M506,Research Methods and Scientific Work
1,C,M562,Project Communication and Stakeholder Management
1,C,TBD,Optional Module
1,C,M517,International Strategic Management
1,D,M518,International Marketing
1,D,M521,Emotional Agility in International Business
1,D,M511,"CSR, ESG & Ethics"
2,A,TBD,"Agile, Lean and Hybrid Project Delivery"
2,A,M524,Management of People in Cross Cultural Environments
2,A,M514,Internship
2,B,M514,Internship
2,C,M513,Research Seminar
2,C,M599,Master Thesis
2,D,M599,Master Thesis
