Year,Quarter,Module Code,Module Name
1,A,M617,Influencer Marketing & Brand Partnerships
1,A,M509,Digital Marketing and Analytics
1,B,M618,Content Strategy & Creation
1,B,M506,Research Methods and Scientific Work
1,C,M619,Strategic Social Media ROI
1,C,M573,Customer Experience Design
1,D,M620,Social Media Community Management & Social Listening
1,D,M513,Research Seminar
2,A,M518,International Marketing
2,A,,Electives
2,A,M514,"Mobility Window (Study Abroad, Internship or Business Project)"
2,B,M514,"Mobility Window (Study Abroad, Internship or Business Project)"
2,C,M523,Digital Competencies
2,C,M599,Master Thesis
2,D,M599,Master Thesis
