Year,Quarter,Module Code,Module Name
1,A,M601,Advanced Mathematics
1,A,M609,Scientific Work for Computer Science
1,A,M502,Project Management
1,B,M602,Computer Programming
1,B,M605,Advanced Databases
1,B,M603,Advanced Algorithms
1,C,M604,Advanced Programming
1,C,M610,Business Technology Consulting
1,C,M606,Machine Learning
1,D,M501,Innovation Management and Digital Transformation
1,D,M607,Computer Science Application Lab
1,D,M511,"CSR, ESG & Ethics"
2,A,M513,Research Seminar
2,A,M599,Master Thesis
2,A,M599,Master Thesis
