Year,Quarter,Module Code,Module Name
1,A,BA7013,Managing Operations and Financial Resources
1,B,BH7010,Building Successful Organizations and Careers
1,C,M504,AI and Applications
1,C,M505,Intro to AI and Machine Learning
1,D,M507,Methods of Prediction
1,D,M508,Big Data Analytics
1,D,M512,Data Visualisation and Communication
2,A,BS7009,Managing in Rapidly Changing Business Environments
2,A,BS7014,International Business Strategy
2,B,BS7032,Consultancy in Practice
2,C,M514,Internship
2,D,M599,Master Thesis
