Year,Quarter,Module Code,Module Name
1,A,CI4450,Professional Environments 1 
1,B,CI4250,Computing Fundamentals 
1,C,B100,Computer Programming
1,C,B101,Data Structures & Algorithms
1,C,B103,Databases & Big Data
1,D,B125,Mathematical Foundations
1,D,B123,Statistics
2,A,CI5450,Professional Environments 2
2,B,MA5700,Introduction to Artificial Intelligence
2,C,B141,Data Mining
2,C,B142,Data Integration
2,C,B112,Sustainability Management
2,D,B111,Fundamentals of Marketing
2,D,B115,Digital Marketing Methods
2,D,B106,Data Visualisation
3,A,CI6416,Advanced Data Modelling
3,A,AX6001,Future Skills Apply 
3,B,MA6700,Applied AI and Machine Learning
3,C,B120,Internship
3,D,B199,Bachelor Thesis
