Year,Quarter,Module Code,Module Name
1,A,CI4450,Professional Environments 1 
1,B,CI4250,Computing Fundamentals 
1,C,B100,Computer Programming
1,C,B101,Data Structures & Algorithms
1,C,B103,Databases & Big Data
1,D,B125,Mathematical Foundations
1,D,B123,Statistics
2,A,CI5450,Professional Environments 2
2,B,CI5320,Database-Driven Application Development
2,C,B205,Computer Networks
2,C,B206,Operating Systems
2,C,B207,Cybersecurity
2,D,B144,Software Design & Modeling
2,D,B215,Software Testing
3,A,CI6416,Advanced Data Modelling
3,A,AX6001,Future Skills Apply 
3,B,CI6125,Software Development Practice 
3,C,B120,Internship
3,D,B199,Bachelor Thesis
