Year,Quarter,Module Code,Module Name
1,A,M601,Advanced Mathematics
1,A,M609,Scientific Work for Computer Science
1,A,M502,Project Management
1,B,M629,Data-Centric Programming
1,B,M606,Machine Learning
1,B,M512,Data Visualisation and Communication
1,C,M630,Neural Networks
1,C,M631,Natural Language Processing
1,C,M532,Computer Vision
1,D,M501,Innovation Management and Digital Transformation
1,D,M503,Behavioral Competencies in Virtual Teams
1,D,M511,"CSR, ESG & Ethics"
2,A,M513,Research Seminar
2,A,M599,Master Thesis
2,B,M599,Master Thesis
