Year,Quarter,Module Code,Module Name
1,A,M501,Innovation Management and Digital Transformation
1,A,M503,Behavioral Competencies in Virtual Teams
1,A,M502,Project Management
1,B,M504,AI and Applications
1,B,M505,Intro to AI and Machine Learning
1,B,M506,Research Methods and Scientific Work
1,C,M507,Methods of Prediction
1,C,M508,Big Data Analytics
1,C,M509,Digital Marketing & Analytics
1,D,M512,Data Visualisation and Communication
1,D,M510,CEO Decision Making & Case Studies
1,D,M511,"CSR, ESG & Ethics"
2,A,M513,Research Seminar
2,A,M599,Master Thesis
2,B,M599,Master Thesis
